date,flight_number,airline_code,airline_name,departure_time,arrival_time,origin_code,destination_code
2026-06-01,FR 828,,Ryanair,2026-06-01T21:45:00.000,2026-06-01T23:00:00.000,PMI,BOH
2026-06-02,FR 5943,,Ryanair,2026-06-02T15:15:00.000,2026-06-02T16:30:00.000,PMI,BOH
2026-06-02,FR 828,,Ryanair,2026-06-02T19:00:00.000,2026-06-02T20:15:00.000,PMI,BOH
2026-06-03,FR 828,,Ryanair,2026-06-03T21:20:00.000,2026-06-03T22:35:00.000,PMI,BOH
2026-06-04,FR 828,,Ryanair,2026-06-04T15:40:00.000,2026-06-04T16:55:00.000,PMI,BOH
2026-06-04,FR 5943,,Ryanair,2026-06-04T21:35:00.000,2026-06-04T22:50:00.000,PMI,BOH
2026-06-05,FR 828,,Ryanair,2026-06-05T11:15:00.000,2026-06-05T12:30:00.000,PMI,BOH
2026-06-06,FR 828,,Ryanair,2026-06-06T14:00:00.000,2026-06-06T15:15:00.000,PMI,BOH
2026-06-07,FR 828,,Ryanair,2026-06-07T11:45:00.000,2026-06-07T13:00:00.000,PMI,BOH
2026-06-07,FR 5943,,Ryanair,2026-06-07T21:45:00.000,2026-06-07T23:00:00.000,PMI,BOH
2026-06-08,FR 828,,Ryanair,2026-06-08T21:45:00.000,2026-06-08T23:00:00.000,PMI,BOH
2026-06-09,FR 5943,,Ryanair,2026-06-09T15:15:00.000,2026-06-09T16:30:00.000,PMI,BOH
2026-06-09,FR 828,,Ryanair,2026-06-09T19:00:00.000,2026-06-09T20:15:00.000,PMI,BOH
2026-06-10,FR 828,,Ryanair,2026-06-10T21:20:00.000,2026-06-10T22:35:00.000,PMI,BOH
2026-06-11,FR 828,,Ryanair,2026-06-11T15:40:00.000,2026-06-11T16:55:00.000,PMI,BOH
2026-06-11,FR 5943,,Ryanair,2026-06-11T21:35:00.000,2026-06-11T22:50:00.000,PMI,BOH
2026-06-12,FR 828,,Ryanair,2026-06-12T11:15:00.000,2026-06-12T12:30:00.000,PMI,BOH
2026-06-13,FR 828,,Ryanair,2026-06-13T14:00:00.000,2026-06-13T15:15:00.000,PMI,BOH
2026-06-14,FR 828,,Ryanair,2026-06-14T11:45:00.000,2026-06-14T13:00:00.000,PMI,BOH
2026-06-14,FR 5943,,Ryanair,2026-06-14T21:45:00.000,2026-06-14T23:00:00.000,PMI,BOH
2026-06-15,FR 828,,Ryanair,2026-06-15T21:45:00.000,2026-06-15T23:00:00.000,PMI,BOH
2026-06-16,FR 5943,,Ryanair,2026-06-16T15:15:00.000,2026-06-16T16:30:00.000,PMI,BOH
2026-06-16,FR 828,,Ryanair,2026-06-16T19:00:00.000,2026-06-16T20:15:00.000,PMI,BOH
2026-06-17,FR 828,,Ryanair,2026-06-17T21:20:00.000,2026-06-17T22:35:00.000,PMI,BOH
2026-06-18,FR 828,,Ryanair,2026-06-18T15:40:00.000,2026-06-18T16:55:00.000,PMI,BOH
2026-06-18,FR 5943,,Ryanair,2026-06-18T21:35:00.000,2026-06-18T22:50:00.000,PMI,BOH
2026-06-19,FR 828,,Ryanair,2026-06-19T11:15:00.000,2026-06-19T12:30:00.000,PMI,BOH
2026-06-20,FR 828,,Ryanair,2026-06-20T14:00:00.000,2026-06-20T15:15:00.000,PMI,BOH
2026-06-21,FR 828,,Ryanair,2026-06-21T11:45:00.000,2026-06-21T13:00:00.000,PMI,BOH
2026-06-21,FR 5943,,Ryanair,2026-06-21T21:45:00.000,2026-06-21T23:00:00.000,PMI,BOH
2026-06-22,FR 828,,Ryanair,2026-06-22T21:45:00.000,2026-06-22T23:00:00.000,PMI,BOH
2026-06-23,FR 5943,,Ryanair,2026-06-23T15:15:00.000,2026-06-23T16:30:00.000,PMI,BOH
2026-06-23,FR 828,,Ryanair,2026-06-23T19:00:00.000,2026-06-23T20:15:00.000,PMI,BOH
2026-06-24,FR 828,,Ryanair,2026-06-24T21:20:00.000,2026-06-24T22:35:00.000,PMI,BOH
2026-06-25,FR 828,,Ryanair,2026-06-25T15:40:00.000,2026-06-25T16:55:00.000,PMI,BOH
2026-06-25,FR 5943,,Ryanair,2026-06-25T21:35:00.000,2026-06-25T22:50:00.000,PMI,BOH
2026-06-26,FR 828,,Ryanair,2026-06-26T11:15:00.000,2026-06-26T12:30:00.000,PMI,BOH
2026-06-27,FR 828,,Ryanair,2026-06-27T14:00:00.000,2026-06-27T15:15:00.000,PMI,BOH
2026-06-28,FR 828,,Ryanair,2026-06-28T11:45:00.000,2026-06-28T13:00:00.000,PMI,BOH
2026-06-28,FR 5943,,Ryanair,2026-06-28T21:45:00.000,2026-06-28T23:00:00.000,PMI,BOH
2026-06-29,FR 828,,Ryanair,2026-06-29T21:45:00.000,2026-06-29T23:00:00.000,PMI,BOH
2026-06-30,FR 5943,,Ryanair,2026-06-30T15:15:00.000,2026-06-30T16:30:00.000,PMI,BOH
2026-06-30,FR 828,,Ryanair,2026-06-30T19:00:00.000,2026-06-30T20:15:00.000,PMI,BOH
